date,open,high,low,close,volume
1570996800000,8445.0000,8445.0000,8189.5300,8284.3100,18.70849500
1571011200000,8280.1900,8314.9300,8253.7500,8301.6700,12.09453800
1571025600000,8297.2800,8334.3400,8280.0400,8307.3400,10.09042000
1571040000000,8312.0900,8329.6300,8286.7400,8290.4500,13.68539200
1571054400000,8290.9900,8290.9900,8251.2000,8256.6100,7.28974300
1571054400000,8290.9900,8290.9900,8251.2000,8256.6100,7.28974300
1571068800000,8262.0200,8389.8200,8222.2000,8335.7900,23.43167900
1571083200000,8340.6100,8357.5000,8296.1500,8351.6300,10.52582000
1571097600000,8351.6300,8404.8500,8317.1800,8320.4300,13.17495100
1571112000000,8319.0300,8340.1200,8279.5100,8290.6700,5.92487000
1571126400000,8285.9200,8324.0100,8264.9100,8295.5400,7.22761600
1571140800000,8293.6200,8357.8600,8240.0000,8319.4000,10.26873500
1571155200000,8314.8600,8317.5600,8115.5900,8178.9400,25.45087200
1571169600000,8177.6200,8179.9600,8123.9600,8161.8700,16.11833200
1571184000000,8161.8700,8177.1300,8149.5300,8159.3100,3.94577200
1571198400000,8162.9500,8175.9900,8118.3600,8136.3100,7.29309400
1571212800000,8132.9000,8158.1700,8018.7500,8052.4400,30.09685300
1571227200000,8045.1000,8045.4500,7945.0900,7956.0000,33.89552100
1571241600000,7956.0000,8012.2300,7925.0100,7951.3900,19.91639600
1571256000000,7954.4800,8016.6700,7954.4800,7999.4300,7.02954200
1571270400000,7999.8500,7999.8500,7960.1900,7966.7000,24.82100100
1571284800000,7966.6100,7991.7300,7936.8600,7978.8800,6.55992400
1571299200000,7978.1900,8100.8900,7975.3700,8063.9700,24.35559600
1571313600000,8068.4300,8089.5600,8018.9700,8071.5200,14.97018400
1571328000000,8075.1700,8125.9800,8045.7000,8056.4300,13.84410500
1571342400000,8060.5000,8081.0600,8043.0000,8073.9400,6.59372200
1571356800000,8077.4700,8116.9900,8058.4900,8068.8000,10.82835100
1571371200000,8067.6600,8078.0000,7851.6900,7915.1900,37.85653000
1571385600000,7915.0800,7936.0900,7826.9700,7922.9100,41.69230800
1571400000000,7930.6500,7970.0000,7902.9600,7924.9300,18.09253000
1571414400000,7921.2200,7987.2200,7909.8700,7950.3600,24.55712600
1571428800000,7949.7200,7980.0000,7921.9200,7955.7300,22.66439400
1571443200000,7955.3000,7960.8100,7904.4600,7947.0500,20.10675200
1571457600000,7947.0500,7960.5100,7920.8100,7937.5600,11.96182900
1571472000000,7938.3100,7985.5500,7929.6600,7953.8000,9.85631300
1571486400000,7954.1400,8092.4400,7883.5600,7996.5700,30.89811800
1571500800000,7998.4800,8006.2600,7965.7800,7980.6200,13.05188600
1571515200000,7982.3600,7982.3600,7900.0400,7950.0000,18.67759200
1571529600000,7958.2500,7959.0000,7884.7800,7912.5900,16.27383600
1571544000000,7913.2100,7945.7500,7906.1900,7914.7600,9.06815300
1571558400000,7912.6000,7988.5700,7900.0000,7937.8100,12.65725100
1571572800000,7946.2700,8044.6000,7944.5700,8028.9300,14.30588700
1571587200000,8030.5700,8250.0000,8017.9300,8245.4000,56.64689300
1571601600000,8245.3100,8307.0400,7700.0000,8234.0300,49.01623300
1571616000000,8235.7900,8263.4400,8198.7200,8233.3700,18.51638800
1571630400000,8236.7000,8259.0600,8219.5700,8231.7700,7.34573600
1571644800000,8223.2100,8292.8100,8200.3400,8234.4400,8.41111500
1571659200000,8242.5700,8345.1200,8170.0000,8192.5500,29.28906200
1571673600000,8193.8300,8201.3600,8156.9400,8198.9700,21.07290400
1571688000000,8200.9700,8238.4200,8195.5700,8216.1900,20.64705100
1571702400000,8213.4800,8219.3800,8180.4700,8216.0000,28.71460100
1571716800000,8218.8200,8236.6200,8198.5600,8221.0400,20.30229800
1571731200000,8220.6700,8289.6200,8220.6700,8287.0500,11.20605100
1571745600000,8287.0500,8300.0000,8180.0000,8219.4300,23.87065100
1571760000000,8218.9100,8229.0600,8165.0000,8173.3400,15.96196500
1571774400000,8172.8500,8172.8500,8003.0000,8029.5900,48.01438500
1571788800000,8029.5900,8056.4100,7950.0000,7961.3900,50.38065600
1571803200000,7961.3900,7983.9200,7932.6600,7965.4400,24.42405000
1571817600000,7962.6900,8013.5900,7956.2400,7967.9300,10.86346800
1571832000000,7963.8100,7967.7300,7425.0000,7443.0000,170.57018800
1571846400000,7434.7100,7534.1700,7350.0000,7489.2400,98.91901400
1571860800000,7487.0200,7499.7600,7404.6700,7476.1000,34.08724000
1571875200000,7476.1000,7500.0300,7409.9100,7419.0400,48.99139300
1571889600000,7419.0100,7447.6700,7359.0800,7433.9000,33.59264300
1571904000000,7432.6000,7487.3900,7407.9500,7438.2800,24.65174800
1571918400000,7440.7000,7498.8600,7426.5100,7445.2000,55.45853100
1571932800000,7445.2000,7484.2700,7433.1700,7484.2700,49.13236300
1571947200000,7483.0700,7483.9400,7425.5600,7430.0000,31.19741000
1571961600000,7430.0000,7464.8200,7426.5400,7451.1800,29.86447100
1571976000000,7451.0100,7476.9500,7383.5400,7474.5800,32.93617900
1571990400000,7476.3100,7646.2000,7454.0100,7579.0200,51.40909300
1572004800000,7579.0200,8478.6600,7579.0200,8294.3500,119.88646700
1572019200000,8296.6800,8780.0000,8296.6800,8647.6800,219.21123400
1572033600000,8644.3500,8711.6000,8565.9400,8672.5200,98.89124900
1572048000000,8666.9000,10368.4800,8222.0000,9589.8500,281.05846200
1572062400000,9589.8500,9784.1000,9326.2200,9487.9400,70.46725900
1572076800000,9484.0500,9484.5900,9012.0000,9229.4500,63.95149500
1572091200000,9229.4500,9444.7200,9066.1900,9200.0000,98.23143700
1572105600000,9204.4400,9246.3100,8900.0000,9014.7100,122.28249300
1572120000000,9017.1000,9305.1700,9016.2300,9253.3900,34.53982800
1572134400000,9253.3900,9389.1800,9126.7600,9155.1600,70.52822400
1572148800000,9155.1600,9230.6500,9100.0000,9162.2700,24.13619000
1572163200000,9174.2200,9654.3400,9174.2200,9277.5100,88.31161700
1572177600000,9294.1800,9630.0800,9232.9100,9544.5800,89.32753000
1572192000000,9549.3600,9808.0800,9419.5400,9739.9200,125.66017600
1572206400000,9737.9600,9767.9600,9470.4600,9556.2300,85.58930300
1572220800000,9550.8100,9919.2800,9550.8100,9646.7700,114.49356100
1572235200000,9648.2800,9696.7900,9353.9500,9460.2500,65.99893500
1572249600000,9452.9300,9477.3700,9297.2200,9418.3600,54.40618000
1572264000000,9417.8000,9428.6000,9274.9900,9398.3200,68.62152600
1572278400000,9398.3300,9500.0000,9345.3300,9415.1400,47.79375300
1572292800000,9421.3900,9500.0000,9201.2400,9215.4600,80.60163300
1572307200000,9221.0700,9315.9000,9211.9500,9298.9700,48.52881600
1572321600000,9302.2200,9562.2800,9302.2200,9456.7700,105.07647800
1572336000000,9460.9000,9497.8000,9366.2300,9436.1300,33.45373300
1572350400000,9442.2100,9475.0700,9286.6000,9361.2600,60.62218800
1572364800000,9358.5700,9403.5600,9102.9000,9237.6000,93.65773800
1572379200000,9237.6000,9499.3800,9226.0100,9427.9800,96.23431200
1572393600000,9427.8200,9427.8300,9262.0200,9288.5000,82.41112900
1572408000000,9288.9900,9343.7800,9163.6700,9170.1800,84.82407200
1572422400000,9171.6800,9250.8500,9023.0100,9110.2300,63.64049000
1572436800000,9110.2300,9172.5000,9002.1000,9104.7100,61.42693300
1572451200000,9101.5600,9208.3400,9022.3700,9208.3400,56.63531400
1572465600000,9211.0000,9231.7700,9140.0200,9160.8700,31.34479500
1572480000000,9162.7700,9215.9700,9066.0000,9111.8700,31.70543900
1572494400000,9113.0000,9219.1700,9086.5400,9105.0300,30.79493900
1572508800000,9103.7000,9158.4700,8955.1200,9122.5400,80.15138500
1572523200000,9129.1900,9411.4300,9127.2600,9228.1900,86.59422300
1572537600000,9234.9100,9276.4800,9220.0000,9235.9200,47.51193300
1572552000000,9235.8400,9258.5500,9028.0100,9155.7900,110.41141200
1572566400000,9153.7100,9154.7700,9060.5000,9079.3000,74.57329000
1572580800000,9080.3200,9146.0800,9055.5900,9113.8600,13.17268600
1572595200000,9118.4000,9292.3600,9105.8900,9167.8700,33.90307500
1572609600000,9181.6100,9244.3600,9089.4800,9123.1000,26.45990800
1572624000000,9110.6900,9219.8100,9087.4800,9177.1000,22.35228200
1572638400000,9180.5800,9288.8200,9172.9400,9248.5900,29.67356200
1572652800000,9249.0000,9284.2400,9236.5400,9252.3200,19.07692200
1572667200000,9249.1100,9253.0000,9202.8600,9220.1900,8.27430600
1572681600000,9228.9000,9264.8800,9211.2300,9254.1300,4.63338400
1572696000000,9259.3700,9372.8200,9221.5300,9332.6200,45.52503800
1572710400000,9334.7000,9356.7000,9290.0500,9330.4600,14.75405200
1572724800000,9332.3100,9335.1000,9289.0000,9309.7800,6.68758100
1572739200000,9310.0000,9375.4600,9310.0000,9341.4600,10.70410900
1572753600000,9345.5600,9345.5600,9253.1700,9257.3300,9.01319000
1572768000000,9254.7900,9255.3900,9120.7700,9169.4500,9.65296100
1572782400000,9156.5100,9186.9900,9121.4100,9183.7600,7.91782800
1572796800000,9182.7400,9186.4900,9113.6300,9150.5900,13.84741300
1572811200000,9154.9600,9235.4400,9080.2700,9204.5700,21.24889800
1572825600000,9203.6300,9212.7000,9147.4600,9159.5000,7.32979000
1572840000000,9157.9900,9200.0000,9132.9500,9184.4000,10.58993800
1572854400000,9190.4300,9264.7100,9156.1000,9264.7100,5.77272100
1572868800000,9268.0500,9331.0000,9239.7200,9303.1600,10.72936300
1572883200000,9303.1600,9331.0100,9264.2900,9272.5400,10.89172500
1572897600000,9293.6000,9555.0200,9293.6000,9417.7600,73.74765700
1572912000000,9415.0400,9476.2900,9374.3800,9425.2100,20.69515000
1572926400000,9427.0000,9427.0000,9185.0200,9222.5800,31.61349600
1572940800000,9228.0000,9323.7600,9202.1700,9291.9700,13.07110900
1572955200000,9301.2800,9393.3500,9226.0000,9366.0000,13.17061700
1572969600000,9390.5000,9403.5800,9269.0200,9399.7600,18.56592000
1572984000000,9407.6000,9431.3500,9303.9500,9303.9500,17.98922500
1572998400000,9318.6400,9328.7800,9276.8300,9297.9000,14.11281800
1573012800000,9314.4000,9444.7500,9303.8700,9402.4600,12.88415300
1573027200000,9400.0900,9411.8300,9341.5100,9384.0600,9.21132600
1573041600000,9386.4600,9394.3200,9313.4800,9346.0000,6.39066200
1573056000000,9345.0000,9345.0000,9252.2200,9295.9500,29.82334100
1573070400000,9293.6000,9360.9300,9280.0000,9339.0200,18.20360200
1573084800000,9342.6900,9369.0000,9281.3200,9293.0100,13.81325000
1573099200000,9300.6000,9306.2700,9214.9000,9245.1000,34.92319200
1573113600000,9241.2800,9257.4800,9138.3300,9186.8100,38.32603500
1573128000000,9180.0000,9230.4000,9130.6400,9182.8400,24.19709200
1573142400000,9182.1200,9219.0000,9173.1300,9197.3600,15.97206000
1573156800000,9194.6400,9254.7800,9088.3300,9216.0000,37.58957700
1573171200000,9202.9500,9250.2100,9174.7400,9228.8000,19.52810500
1573185600000,9235.0000,9250.2100,9107.6200,9131.3400,28.57969800
1573200000000,9133.8800,9138.7300,8942.3900,9012.7600,64.65649500
1573214400000,9000.1800,9012.7500,8666.0800,8798.3800,138.90025000
1573228800000,8794.9900,8839.7500,8703.4500,8794.8700,53.74833000
1573243200000,8796.1600,8885.8900,8763.0000,8773.0100,15.72361900
1573257600000,8765.0000,8836.3900,8736.1700,8827.2900,17.53815100
1573272000000,8828.9800,8873.7600,8807.7300,8816.1400,28.63744200
1573286400000,8811.9400,8854.0300,8784.4900,8812.7800,19.86394400
1573300800000,8826.4700,8866.4200,8775.0000,8806.6700,20.54928600
1573315200000,8793.2400,8816.5600,8729.2600,8760.7100,19.92061700
1573329600000,8760.8900,8827.9900,8760.8000,8812.9900,9.50236500
1573344000000,8804.6400,8807.6300,8751.7300,8772.9300,10.72461400
1573358400000,8779.8700,8885.5200,8775.6900,8847.0700,27.45217000
1573372800000,8850.0000,8865.2000,8813.6300,8828.9200,9.94746000
1573387200000,8837.9500,8858.0500,8790.8600,8802.2000,6.64483600
1573401600000,8809.6400,9135.3200,8797.7400,9045.3100,53.19747200
1573416000000,9050.4000,9097.4700,9025.6900,9041.9100,11.20695300
1573430400000,9050.0000,9071.1700,9007.6500,9016.3400,9.35266300
1573444800000,9018.4600,9027.0400,8725.0000,8796.2300,64.63287200
1573459200000,8796.2300,8796.2300,8613.0000,8721.8000,34.02827600
1573473600000,8715.7200,8738.3400,8677.8900,8707.6800,10.26000200
1573488000000,8707.7400,8779.9700,8690.2100,8742.3500,17.39978400
1573502400000,8752.9300,8752.9300,8689.8900,8726.1800,13.71813200
1573516800000,8707.6000,8766.7500,8696.8600,8730.2100,13.53506400
1573531200000,8726.0100,8774.3300,8712.3600,8759.3000,12.45069500
1573545600000,8763.2100,8763.2100,8705.4000,8730.3200,7.87409200
1573560000000,8733.6300,8863.5000,8563.0800,8681.0600,83.68544000
1573574400000,8681.0600,8777.9700,8666.0100,8765.8200,26.56529000
1573588800000,8757.8000,8815.6800,8748.0200,8811.5500,20.63036500
1573603200000,8822.2400,8835.0400,8727.1300,8727.1300,13.06978700
1573617600000,8727.1300,8756.8600,8707.9500,8734.1600,25.07876600
1573632000000,8731.7800,8797.4500,8721.8500,8758.8800,13.43224700
1573646400000,8758.8800,8782.7500,8710.5400,8730.0100,6.84701100
1573660800000,8726.2800,8770.4000,8725.0000,8761.4100,11.72037700
1573675200000,8765.8100,8780.9600,8742.6200,8766.7800,15.10499500
1573689600000,8773.0800,8784.5100,8727.9500,8750.6500,9.76943200
1573704000000,8749.7000,8757.9800,8628.0300,8633.1000,25.78587400
1573718400000,8639.0800,8639.0800,8566.8400,8610.4400,26.85432900
1573732800000,8607.2600,8668.4000,8577.3700,8617.1400,39.29504600
1573747200000,8612.7400,8642.9800,8604.5200,8628.7200,7.82899800
1573761600000,8631.2500,8663.5000,8631.1800,8637.1000,17.36338900
1573776000000,8632.9500,8644.1600,8504.0800,8542.4400,43.19913800
1573790400000,8542.4400,8586.3200,8529.8000,8555.3700,16.37831600
1573804800000,8552.4600,8766.0000,8547.7800,8610.5000,47.65276200
1573819200000,8610.6400,8678.0200,8388.0000,8459.4200,63.39386100
1573833600000,8448.7700,8485.6000,8418.5500,8479.5000,35.31571800
1573848000000,8463.0100,8510.3600,8442.5100,8459.0700,15.80641000
1573862400000,8463.7900,8484.4200,8430.7700,8452.9400,10.18367300
1573876800000,8446.8800,8505.3800,8446.8800,8472.3800,4.10443400
1573891200000,8473.6200,8528.4400,8452.3900,8465.9900,14.07741000
1573905600000,8480.8800,8509.6200,8454.3500,8489.0900,8.27299700
1573920000000,8486.5000,8498.0900,8467.5900,8469.0000,5.54049800
1573934400000,8468.7100,8492.1000,8460.0000,8484.0700,8.42875900
1573948800000,8485.8300,8510.7800,8473.7400,8477.4400,13.28061100
1573963200000,8477.3900,8485.0000,8398.0700,8420.4300,9.56164500
1573977600000,8411.5800,8582.4800,8373.9600,8524.9700,23.22543700
1573992000000,8520.9100,8574.6400,8510.0500,8530.0100,9.03233100
1574006400000,8529.1700,8562.0000,8528.5400,8553.2400,8.07403800
1574020800000,8556.8700,8627.5600,8493.7200,8508.2600,26.18309000
1574035200000,8495.7200,8501.5800,8427.6900,8478.0000,8.86660100
1574049600000,8478.0000,8489.0000,8420.6900,8444.5400,6.13894800
1574064000000,8442.1800,8486.9600,8410.7800,8435.6400,6.15433200
1574078400000,8417.6800,8451.5000,8366.8000,8402.4200,8.88653300
1574092800000,8406.2600,8421.7800,8043.0000,8201.2000,108.18797900
1574107200000,8200.1600,8234.2000,8157.1300,8175.1400,35.33059700
1574121600000,8170.5200,8196.2700,8136.0000,8136.0000,15.24150200
1574136000000,8138.9600,8161.6800,8084.6000,8105.7100,25.95331200
1574150400000,8115.2700,8155.0000,7993.4600,8061.0100,38.78699300
1574164800000,8059.5900,8107.9000,8008.7800,8090.5300,19.93584600
1574179200000,8091.4200,8146.7700,8042.8200,8094.0400,15.75385600
1574193600000,8094.9000,8153.9000,8064.6000,8123.9300,20.78887500
